timestamp,density_percent,latitude,longitude
2025-07-08 12:12:42,30.18,11.2588,75.7804
2025-07-08 12:12:44,30.47,11.2588,75.7804
2025-07-08 12:12:46,30.66,11.2588,75.7804
2025-07-08 12:12:47,31.20,11.2588,75.7804
2025-07-08 12:12:48,31.17,11.2588,75.7804
2025-07-08 12:12:50,32.35,11.2588,75.7804
2025-07-08 12:12:52,32.62,11.2588,75.7804
2025-07-08 12:12:54,31.60,11.2588,75.7804
2025-07-08 12:12:56,31.57,11.2588,75.7804
2025-07-08 12:12:58,31.97,11.2588,75.7804
2025-07-08 12:13:00,30.52,11.2588,75.7804
2025-07-08 12:13:01,30.56,11.2588,75.7804
2025-07-08 12:13:03,31.19,11.2588,75.7804
2025-07-08 12:13:05,31.94,11.2588,75.7804
2025-07-08 12:13:07,31.51,11.2588,75.7804
2025-07-08 12:13:09,31.99,11.2588,75.7804
2025-07-08 12:13:10,32.04,11.2588,75.7804
2025-07-08 12:13:12,32.12,11.2588,75.7804
2025-07-08 12:13:14,32.06,11.2588,75.7804
2025-07-08 12:13:15,33.45,11.2588,75.7804
2025-07-08 12:13:17,33.43,11.2588,75.7804
2025-07-08 12:13:19,33.21,11.2588,75.7804
2025-07-08 12:13:21,32.62,11.2588,75.7804
2025-07-08 12:13:22,34.35,11.2588,75.7804
2025-07-08 12:13:24,34.51,11.2588,75.7804
2025-07-08 12:13:26,32.87,11.2588,75.7804
2025-07-08 12:13:28,32.69,11.2588,75.7804
2025-07-08 12:13:29,32.38,11.2588,75.7804
2025-07-08 12:13:31,33.47,11.2588,75.7804
2025-07-08 12:13:33,33.91,11.2588,75.7804
2025-07-08 12:13:35,33.24,11.2588,75.7804
2025-07-08 12:13:36,33.41,11.2588,75.7804
2025-07-08 12:13:38,33.13,11.2588,75.7804
2025-07-08 12:13:40,31.49,11.2588,75.7804
2025-07-08 12:13:43,32.86,11.2588,75.7804
2025-07-08 12:13:44,32.95,11.2588,75.7804
2025-07-08 12:13:47,33.14,11.2588,75.7804
2025-07-08 12:13:49,34.23,11.2588,75.7804
2025-07-08 12:13:52,33.41,11.2588,75.7804
2025-07-08 12:13:55,32.91,11.2588,75.7804
2025-07-08 12:13:57,34.32,11.2588,75.7804
2025-07-08 12:13:59,33.54,11.2588,75.7804
2025-07-08 12:14:01,34.18,11.2588,75.7804
2025-07-08 12:14:03,34.06,11.2588,75.7804
2025-07-08 12:14:06,32.76,11.2588,75.7804
2025-07-08 12:14:08,32.79,11.2588,75.7804
2025-07-08 12:14:11,33.00,11.2588,75.7804
2025-07-08 12:14:13,33.53,11.2588,75.7804
2025-07-08 12:14:15,34.13,11.2588,75.7804
2025-07-08 12:14:18,33.78,11.2588,75.7804
2025-07-08 12:14:19,34.16,11.2588,75.7804
2025-07-08 12:14:21,33.67,11.2588,75.7804
2025-07-08 12:14:24,33.74,11.2588,75.7804
