Frame,DensityPercentage
287,1.13,2025-07-22 17:26:54,58
288,2.4,2025-07-22 17:27:00,58
289,1.42,2025-07-22 17:27:00,58
290,2.93,2025-07-22 17:27:00,59
291,3.07,2025-07-22 17:27:00,59
292,2.81,2025-07-22 17:27:00,59
293,2.7,2025-07-22 17:27:05,59
294,2.71,2025-07-22 17:27:05,59
295,2.7,2025-07-22 17:27:05,60
296,2.72,2025-07-22 17:27:05,60
297,2.71,2025-07-22 17:27:05,60
298,2.92,2025-07-22 17:27:10,60
299,2.82,2025-07-22 17:27:10,60
300,2.78,2025-07-22 17:27:10,61
301,2.61,2025-07-22 17:27:10,61
302,2.62,2025-07-22 17:27:10,61
303,2.63,2025-07-22 17:27:15,61
304,2.63,2025-07-22 17:27:15,61
305,2.63,2025-07-22 17:27:15,62
306,2.63,2025-07-22 17:27:15,62
307,2.65,2025-07-22 17:27:15,62
308,2.66,2025-07-22 17:27:21,62
309,2.67,2025-07-22 17:27:21,62
310,2.7,2025-07-22 17:27:21,63
311,2.91,2025-07-22 17:27:21,63
312,3.25,2025-07-22 17:27:21,63
313,2.88,2025-07-22 17:27:27,63
314,2.75,2025-07-22 17:27:27,63
315,2.73,2025-07-22 17:27:27,64
316,2.73,2025-07-22 17:27:27,64
317,2.74,2025-07-22 17:27:27,64
318,2.75,2025-07-22 17:27:32,64
319,2.76,2025-07-22 17:27:32,64
320,2.75,2025-07-22 17:27:32,65
321,2.77,2025-07-22 17:27:32,65
322,2.23,2025-07-22 17:27:32,65
323,1.99,2025-07-22 17:27:36,65
324,2.19,2025-07-22 17:27:36,65
325,2.8,2025-07-22 17:27:36,66
326,2.82,2025-07-22 17:27:36,66
327,2.82,2025-07-22 17:27:36,66
328,2.83,2025-07-22 17:27:45,66
329,2.84,2025-07-22 17:27:45,66
330,2.85,2025-07-22 17:27:45,67
331,2.44,2025-07-22 17:27:45,67
332,2.15,2025-07-22 17:27:45,67
333,2.36,2025-07-22 17:27:48,67
334,2.88,2025-07-22 17:27:48,67
335,2.9,2025-07-22 17:27:48,68
336,2.9,2025-07-22 17:27:48,68
337,2.91,2025-07-22 17:27:48,68
338,2.91,2025-07-22 17:27:53,68
339,2.92,2025-07-22 17:27:53,68
340,2.92,2025-07-22 17:27:53,69
341,2.93,2025-07-22 17:27:53,69
342,2.93,2025-07-22 17:27:53,69
343,2.94,2025-07-22 17:27:59,69
344,2.95,2025-07-22 17:27:59,69
345,2.96,2025-07-22 17:27:59,70
346,2.96,2025-07-22 17:27:59,70
347,2.98,2025-07-22 17:27:59,70
348,2.98,2025-07-22 17:28:04,70
349,3.0,2025-07-22 17:28:04,70
350,3.0,2025-07-22 17:28:04,71
351,3.0,2025-07-22 17:28:04,71
352,3.01,2025-07-22 17:28:04,71
353,3.02,2025-07-22 17:28:08,71
354,3.04,2025-07-22 17:28:08,71
355,3.03,2025-07-22 17:28:08,72
356,3.04,2025-07-22 17:28:08,72
357,3.04,2025-07-22 17:28:08,72
358,3.05,2025-07-22 17:28:14,72
359,3.06,2025-07-22 17:28:14,72
360,3.07,2025-07-22 17:28:14,73
361,3.11,2025-07-22 17:28:14,73
362,3.11,2025-07-22 17:28:14,73
363,3.1,2025-07-22 17:28:19,73
364,3.14,2025-07-22 17:28:19,73
365,3.16,2025-07-22 17:28:19,74
366,2.3,2025-07-22 17:28:19,74
367,3.09,2025-07-22 17:28:19,74
368,3.12,2025-07-22 17:28:25,74
369,3.09,2025-07-22 17:28:25,74
370,3.0,2025-07-22 17:28:25,75
371,3.0,2025-07-22 17:28:25,75
372,2.99,2025-07-22 17:28:25,75
373,3.06,2025-07-22 17:28:30,75
374,3.04,2025-07-22 17:28:30,75
375,3.03,2025-07-22 17:28:30,76
376,3.01,2025-07-22 17:28:30,76
377,2.97,2025-07-22 17:28:30,76
378,2.99,2025-07-22 17:28:35,76
379,2.99,2025-07-22 17:28:35,76
380,3.0,2025-07-22 17:28:35,77
381,3.01,2025-07-22 17:28:35,77
382,3.01,2025-07-22 17:28:35,77
383,3.02,2025-07-22 17:28:41,77
384,3.03,2025-07-22 17:28:41,77
385,3.02,2025-07-22 17:28:41,78
386,3.02,2025-07-22 17:28:41,78
387,3.02,2025-07-22 17:28:41,78
388,3.04,2025-07-22 17:28:45,78
389,3.0,2025-07-22 17:28:45,78
390,3.04,2025-07-22 17:28:45,79
391,3.26,2025-07-22 17:28:45,79
392,3.18,2025-07-22 17:28:45,79
393,2.97,2025-07-22 17:28:53,79
394,2.96,2025-07-22 17:28:53,79
395,3.08,2025-07-22 17:28:53,80
396,2.99,2025-07-22 17:28:53,80
397,2.98,2025-07-22 17:28:53,80
398,2.97,2025-07-22 17:28:56,80
399,2.98,2025-07-22 17:28:56,80
400,2.98,2025-07-22 17:28:56,81
401,3.12,2025-07-22 17:28:56,81
402,3.0,2025-07-22 17:28:56,81
403,3.0,2025-07-22 17:29:02,81
404,3.02,2025-07-22 17:29:02,81
405,3.02,2025-07-22 17:29:02,82
406,3.1,2025-07-22 17:29:02,82
407,3.01,2025-07-22 17:29:02,82
408,2.69,2025-07-22 17:29:06,82
409,2.7,2025-07-22 17:29:06,82
410,2.68,2025-07-22 17:29:06,83
411,2.7,2025-07-22 17:29:06,83
412,2.67,2025-07-22 17:29:06,83
413,2.64,2025-07-22 17:29:12,83
414,2.64,2025-07-22 17:29:12,83
415,2.65,2025-07-22 17:29:12,84
416,2.65,2025-07-22 17:29:12,84
417,2.64,2025-07-22 17:29:12,84
418,2.64,2025-07-22 17:29:17,84
419,2.64,2025-07-22 17:29:17,84
420,2.64,2025-07-22 17:29:17,85
421,2.65,2025-07-22 17:29:17,85
422,2.65,2025-07-22 17:29:17,85
423,2.65,2025-07-22 17:29:22,85
424,2.7,2025-07-22 17:29:22,85
425,2.87,2025-07-22 17:29:22,86
426,2.65,2025-07-22 17:29:22,86
427,2.67,2025-07-22 17:29:22,86
428,2.67,2025-07-22 17:29:28,86
429,2.67,2025-07-22 17:29:28,86
430,2.68,2025-07-22 17:29:28,87
431,2.68,2025-07-22 17:29:28,87
432,2.67,2025-07-22 17:29:28,87
433,2.76,2025-07-22 17:29:33,87
434,2.61,2025-07-22 17:29:33,87
435,2.67,2025-07-22 17:29:33,88
436,2.69,2025-07-22 17:29:33,88
437,2.68,2025-07-22 17:29:33,88
438,2.78,2025-07-22 17:29:38,88
439,2.76,2025-07-22 17:29:38,88
440,2.68,2025-07-22 17:29:38,89
441,2.69,2025-07-22 17:29:38,89
442,2.69,2025-07-22 17:29:38,89
443,2.7,2025-07-22 17:29:43,89
444,2.69,2025-07-22 17:29:43,89
445,2.75,2025-07-22 17:29:43,90
446,2.8,2025-07-22 17:29:43,90
447,2.69,2025-07-22 17:29:43,90
448,2.69,2025-07-22 17:29:50,90
449,2.71,2025-07-22 17:29:50,90
450,2.85,2025-07-22 17:29:50,91
451,2.91,2025-07-22 17:29:50,91
452,2.73,2025-07-22 17:29:50,91
453,2.71,2025-07-22 17:29:54,91
454,2.72,2025-07-22 17:29:54,91
455,2.72,2025-07-22 17:29:54,92
456,2.73,2025-07-22 17:29:54,92
457,2.68,2025-07-22 17:29:54,92
458,2.7,2025-07-22 17:30:01,92
459,2.71,2025-07-22 17:30:01,92
460,2.71,2025-07-22 17:30:01,93
461,2.83,2025-07-22 17:30:01,93
462,2.72,2025-07-22 17:30:01,93
463,2.71,2025-07-22 17:30:06,93
464,2.71,2025-07-22 17:30:06,93
465,2.71,2025-07-22 17:30:06,94
466,2.71,2025-07-22 17:30:06,94
467,2.72,2025-07-22 17:30:06,94
468,2.73,2025-07-22 17:30:11,94
469,2.73,2025-07-22 17:30:11,94
470,2.73,2025-07-22 17:30:11,95
471,2.73,2025-07-22 17:30:11,95
472,2.72,2025-07-22 17:30:11,95
473,2.76,2025-07-22 17:30:15,95
474,2.77,2025-07-22 17:30:15,95
475,2.82,2025-07-22 17:30:15,96
476,2.79,2025-07-22 17:30:15,96
477,2.76,2025-07-22 17:30:15,96
478,2.75,2025-07-22 17:30:21,96
479,2.77,2025-07-22 17:30:21,96
480,2.78,2025-07-22 17:30:21,97
481,2.78,2025-07-22 17:30:21,97
482,2.79,2025-07-22 17:30:21,97
483,2.77,2025-07-22 17:30:27,97
484,2.8,2025-07-22 17:30:27,97
485,2.88,2025-07-22 17:30:27,98
486,2.81,2025-07-22 17:30:27,98
487,2.86,2025-07-22 17:30:27,98
488,2.91,2025-07-22 17:30:34,98
489,2.88,2025-07-22 17:30:34,98
490,2.93,2025-07-22 17:30:34,99
491,2.92,2025-07-22 17:30:34,99
492,2.88,2025-07-22 17:30:34,99
493,2.89,2025-07-22 17:30:36,99
494,2.85,2025-07-22 17:30:36,99
495,2.82,2025-07-22 17:30:36,100
496,2.82,2025-07-22 17:30:36,100
497,2.82,2025-07-22 17:30:36,100
