timestamp,density_percent,latitude,longitude
2025-07-08 12:23:44,30.18,11.2588,75.7804
2025-07-08 12:23:46,30.47,11.2588,75.7804
2025-07-08 12:23:48,30.66,11.2588,75.7804
2025-07-08 12:23:50,31.20,11.2588,75.7804
2025-07-08 12:23:52,31.17,11.2588,75.7804
2025-07-08 12:23:53,32.35,11.2588,75.7804
2025-07-08 12:23:55,32.62,11.2588,75.7804
2025-07-08 12:23:57,31.60,11.2588,75.7804
2025-07-08 12:23:58,31.57,11.2588,75.7804
2025-07-08 12:24:00,31.97,11.2588,75.7804
2025-07-08 12:24:02,30.52,11.2588,75.7804
2025-07-08 12:24:03,30.56,11.2588,75.7804
2025-07-08 12:24:05,31.19,11.2588,75.7804
2025-07-08 12:24:07,31.94,11.2588,75.7804
2025-07-08 12:24:09,31.51,11.2588,75.7804
2025-07-08 12:24:11,31.99,11.2588,75.7804
2025-07-08 12:24:13,32.04,11.2588,75.7804
2025-07-08 12:24:15,32.12,11.2588,75.7804
2025-07-08 12:24:16,32.06,11.2588,75.7804
2025-07-08 12:24:18,33.45,11.2588,75.7804
2025-07-08 12:24:19,33.43,11.2588,75.7804
2025-07-08 12:24:21,33.21,11.2588,75.7804
2025-07-08 12:24:23,32.62,11.2588,75.7804
2025-07-08 12:24:24,34.35,11.2588,75.7804
2025-07-08 12:24:26,34.51,11.2588,75.7804
2025-07-08 12:24:28,32.87,11.2588,75.7804
2025-07-08 12:24:29,32.69,11.2588,75.7804
2025-07-08 12:24:31,32.38,11.2588,75.7804
2025-07-08 12:24:33,33.47,11.2588,75.7804
2025-07-08 12:24:35,33.91,11.2588,75.7804
2025-07-08 12:24:37,33.24,11.2588,75.7804
2025-07-08 12:24:39,33.41,11.2588,75.7804
2025-07-08 12:24:41,33.13,11.2588,75.7804
2025-07-08 12:24:43,31.49,11.2588,75.7804
2025-07-08 12:24:44,32.86,11.2588,75.7804
2025-07-08 12:24:46,32.95,11.2588,75.7804
2025-07-08 12:24:48,33.14,11.2588,75.7804
2025-07-08 12:24:49,34.23,11.2588,75.7804
2025-07-08 12:24:51,33.41,11.2588,75.7804
2025-07-08 12:24:53,32.91,11.2588,75.7804
2025-07-08 12:24:55,34.32,11.2588,75.7804
2025-07-08 12:24:56,33.54,11.2588,75.7804
2025-07-08 12:24:58,34.18,11.2588,75.7804
2025-07-08 12:24:59,34.06,11.2588,75.7804
2025-07-08 12:25:01,32.76,11.2588,75.7804
2025-07-08 12:25:03,32.79,11.2588,75.7804
2025-07-08 12:25:05,33.00,11.2588,75.7804
2025-07-08 12:25:07,33.53,11.2588,75.7804
2025-07-08 12:25:09,34.13,11.2588,75.7804
2025-07-08 12:25:10,33.78,11.2588,75.7804
2025-07-08 12:25:13,34.16,11.2588,75.7804
2025-07-08 12:25:15,33.67,11.2588,75.7804
2025-07-08 12:25:17,33.74,11.2588,75.7804
2025-07-08 12:25:18,34.92,11.2588,75.7804
2025-07-08 12:25:20,34.33,11.2588,75.7804
2025-07-08 12:25:22,34.27,11.2588,75.7804
2025-07-08 12:25:24,33.22,11.2588,75.7804
2025-07-08 12:25:25,32.20,11.2588,75.7804
2025-07-08 12:25:27,31.66,11.2588,75.7804
2025-07-08 12:25:29,31.05,11.2588,75.7804
2025-07-08 12:25:31,28.98,11.2588,75.7804
2025-07-08 12:25:33,29.98,11.2588,75.7804
2025-07-08 12:25:35,29.34,11.2588,75.7804
2025-07-08 12:25:38,27.33,11.2588,75.7804
2025-07-08 12:25:40,28.56,11.2588,75.7804
2025-07-08 12:25:42,27.30,11.2588,75.7804
2025-07-08 12:25:44,25.47,11.2588,75.7804
2025-07-08 12:25:45,25.91,11.2588,75.7804
2025-07-08 12:25:47,25.34,11.2588,75.7804
2025-07-08 12:25:49,28.01,11.2588,75.7804
2025-07-08 12:25:51,27.45,11.2588,75.7804
2025-07-08 12:25:52,28.07,11.2588,75.7804
2025-07-08 12:25:54,28.83,11.2588,75.7804
2025-07-08 12:25:56,28.41,11.2588,75.7804
2025-07-08 12:25:58,28.10,11.2588,75.7804
2025-07-08 12:26:00,29.67,11.2588,75.7804
2025-07-08 12:26:02,28.05,11.2588,75.7804
2025-07-08 12:26:04,25.47,11.2588,75.7804
2025-07-08 12:26:05,25.20,11.2588,75.7804
2025-07-08 12:26:07,28.36,11.2588,75.7804
2025-07-08 12:26:09,29.50,11.2588,75.7804
2025-07-08 12:26:11,29.18,11.2588,75.7804
2025-07-08 12:26:13,29.87,11.2588,75.7804
2025-07-08 12:26:15,28.81,11.2588,75.7804
2025-07-08 12:26:17,27.69,11.2588,75.7804
2025-07-08 12:26:20,27.84,11.2588,75.7804
2025-07-08 12:26:22,27.17,11.2588,75.7804
2025-07-08 12:26:23,28.91,11.2588,75.7804
2025-07-08 12:26:25,29.37,11.2588,75.7804
2025-07-08 12:26:26,28.47,11.2588,75.7804
2025-07-08 12:26:28,29.67,11.2588,75.7804
2025-07-08 12:26:29,29.53,11.2588,75.7804
2025-07-08 12:26:30,28.36,11.2588,75.7804
2025-07-08 12:26:32,30.28,11.2588,75.7804
2025-07-08 12:26:33,28.23,11.2588,75.7804
2025-07-08 12:26:35,27.77,11.2588,75.7804
2025-07-08 12:26:37,27.67,11.2588,75.7804
2025-07-08 12:26:38,27.00,11.2588,75.7804
2025-07-08 12:26:40,26.74,11.2588,75.7804
2025-07-08 12:26:41,28.90,11.2588,75.7804
2025-07-08 12:26:42,31.49,11.2588,75.7804
2025-07-08 12:26:43,31.80,11.2588,75.7804
2025-07-08 12:26:45,30.09,11.2588,75.7804
2025-07-08 12:26:46,31.87,11.2588,75.7804
2025-07-08 12:26:48,30.91,11.2588,75.7804
2025-07-08 12:26:49,30.82,11.2588,75.7804
2025-07-08 12:26:50,31.12,11.2588,75.7804
2025-07-08 12:26:52,31.70,11.2588,75.7804
2025-07-08 12:26:53,30.64,11.2588,75.7804
2025-07-08 12:26:54,30.82,11.2588,75.7804
2025-07-08 12:26:55,28.82,11.2588,75.7804
2025-07-08 12:26:57,29.11,11.2588,75.7804
2025-07-08 12:26:58,28.97,11.2588,75.7804
2025-07-08 12:26:59,26.94,11.2588,75.7804
2025-07-08 12:27:01,28.11,11.2588,75.7804
2025-07-08 12:27:02,28.40,11.2588,75.7804
2025-07-08 12:27:03,29.35,11.2588,75.7804
2025-07-08 12:27:04,29.46,11.2588,75.7804
2025-07-08 12:27:05,31.23,11.2588,75.7804
2025-07-08 12:27:07,30.64,11.2588,75.7804
2025-07-08 12:27:08,28.82,11.2588,75.7804
2025-07-08 12:27:09,29.21,11.2588,75.7804
2025-07-08 12:27:10,29.02,11.2588,75.7804
2025-07-08 12:27:12,29.78,11.2588,75.7804
2025-07-08 12:27:13,31.17,11.2588,75.7804
2025-07-08 12:27:14,31.77,11.2588,75.7804
2025-07-08 12:27:15,31.71,11.2588,75.7804
2025-07-08 12:27:17,31.85,11.2588,75.7804
2025-07-08 12:27:18,30.86,11.2588,75.7804
2025-07-08 12:27:20,30.47,11.2588,75.7804
2025-07-08 12:27:21,30.15,11.2588,75.7804
2025-07-08 12:27:22,30.50,11.2588,75.7804
2025-07-08 12:27:23,30.63,11.2588,75.7804
2025-07-08 12:27:25,30.92,11.2588,75.7804
2025-07-08 12:27:26,29.78,11.2588,75.7804
2025-07-08 12:27:27,30.32,11.2588,75.7804
2025-07-08 12:27:28,29.60,11.2588,75.7804
2025-07-08 12:27:30,30.20,11.2588,75.7804
2025-07-08 12:27:31,28.88,11.2588,75.7804
2025-07-08 12:27:32,29.12,11.2588,75.7804
2025-07-08 12:27:33,29.03,11.2588,75.7804
2025-07-08 12:27:35,27.64,11.2588,75.7804
2025-07-08 12:27:36,26.57,11.2588,75.7804
2025-07-08 12:27:37,26.89,11.2588,75.7804
2025-07-08 12:27:38,26.62,11.2588,75.7804
2025-07-08 12:27:39,28.94,11.2588,75.7804
2025-07-08 12:27:41,29.12,11.2588,75.7804
2025-07-08 12:27:42,29.39,11.2588,75.7804
2025-07-08 12:27:43,29.25,11.2588,75.7804
2025-07-08 12:27:44,28.94,11.2588,75.7804
2025-07-08 12:27:45,31.15,11.2588,75.7804
2025-07-08 12:27:47,29.60,11.2588,75.7804
2025-07-08 12:27:48,29.24,11.2588,75.7804
2025-07-08 12:27:49,30.19,11.2588,75.7804
2025-07-08 12:27:50,30.21,11.2588,75.7804
2025-07-08 12:27:52,30.14,11.2588,75.7804
2025-07-08 12:27:53,31.48,11.2588,75.7804
2025-07-08 12:27:54,31.71,11.2588,75.7804
2025-07-08 12:27:55,29.13,11.2588,75.7804
2025-07-08 12:27:57,29.68,11.2588,75.7804
2025-07-08 12:27:58,28.82,11.2588,75.7804
2025-07-08 12:27:59,28.62,11.2588,75.7804
2025-07-08 12:28:01,28.96,11.2588,75.7804
2025-07-08 12:28:03,29.23,11.2588,75.7804
2025-07-08 12:28:04,30.62,11.2588,75.7804
2025-07-08 12:28:05,29.93,11.2588,75.7804
2025-07-08 12:28:07,29.30,11.2588,75.7804
2025-07-08 12:28:08,28.07,11.2588,75.7804
2025-07-08 12:28:09,28.68,11.2588,75.7804
2025-07-08 12:28:11,28.43,11.2588,75.7804
2025-07-08 12:28:14,29.28,11.2588,75.7804
2025-07-08 12:28:15,28.39,11.2588,75.7804
2025-07-08 12:28:17,29.91,11.2588,75.7804
2025-07-08 12:28:18,28.50,11.2588,75.7804
2025-07-08 12:28:20,29.78,11.2588,75.7804
2025-07-08 12:28:22,29.12,11.2588,75.7804
2025-07-08 12:28:23,28.50,11.2588,75.7804
2025-07-08 12:28:24,29.27,11.2588,75.7804
2025-07-08 12:28:26,29.36,11.2588,75.7804
2025-07-08 12:28:27,28.71,11.2588,75.7804
2025-07-08 12:28:29,29.62,11.2588,75.7804
2025-07-08 12:28:30,30.32,11.2588,75.7804
2025-07-08 12:28:32,30.08,11.2588,75.7804
2025-07-08 12:28:33,29.16,11.2588,75.7804
2025-07-08 12:28:35,29.66,11.2588,75.7804
2025-07-08 12:28:37,30.76,11.2588,75.7804
2025-07-08 12:28:38,30.10,11.2588,75.7804
2025-07-08 12:28:39,29.50,11.2588,75.7804
2025-07-08 12:28:40,30.14,11.2588,75.7804
2025-07-08 12:28:41,29.34,11.2588,75.7804
2025-07-08 12:28:43,29.97,11.2588,75.7804
2025-07-08 12:28:44,28.96,11.2588,75.7804
