scenario_code,time_s,link_id,travel_time,speed,volume,queue_delay,veh_delay,stops,occupancy,queue_length,max_queue_length,event_active,event_exposure,event_intensity,lanes_blocked,tt_missing_flag,speed_missing_flag,volume_missing_flag,event_link,,,,
SC0011,2400-2700,L6,952.56,21.82,40,1362.61,922.62,20.85,0.5748,93.5,267.56,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L13,23.16,44.51,21,904.36,1.63,0,0.0171,410.17,414.32,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L16,44.16,30.86,26,1056.14,9.87,0,0.0516,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L17,36.38,19.79,3,986.3,0.05,0,0.0493,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,2400-2700,L18,26.14,43.9,33,983.31,2.86,0,0.0335,390.25,415.39,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L1,17.15,63.49,1,1163.2,0.4,0,0.0004,352.79,504.5,0,1,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L3,,33.73,1,882.35,,,0.0007,495.84,503.41,0,0.368,0.075,0,1,0,0,L1,,,,
SC0011,2700-3000,L6,815.19,26.73,57,1469.33,784.62,18.21,0.9741,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L13,20.86,50.71,21,1119.45,0.88,0,0.0148,268.02,493.33,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L16,46.79,27.91,27,1271.6,10.49,0,0.0646,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L17,23.9,39.18,6,1219.07,0.12,0,0.1321,398.94,420.23,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,2700-3000,L18,24.84,45.52,29,1079.65,1.71,0,0.0261,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L1,,,0,,,,0,419.47,461.41,0,1,0.075,0,1,1,1,L1,,,,
SC0011,3000-3300,L3,35.56,48.94,5,337.93,7.75,0,0.0029,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L6,593.6,27.63,43,1675.78,564.51,12.14,0.0775,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L13,18.76,56.96,38,923.94,0.17,0,0.0252,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L16,35.31,37.2,19,1255.93,2.34,0,0.2083,396.95,418.96,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L17,25.6,34.58,5,1262.06,0.16,0,0.1132,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,3000-3300,L18,23.56,45.58,44,973.23,0.87,0,0.042,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L1,15.77,69.54,1,1613.95,0.6,0,0.0004,391,451.31,0,1,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L3,33.11,30.12,3,286.68,5.86,0,0.0027,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L6,783.36,22.55,33,1954.53,754.3,13,0.6712,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L13,20.64,52.37,40,929.36,0.9,0,0.0258,0.11,8.31,0,0.223,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L16,84.24,24.38,29,1374.76,48.12,0.46,0.4694,,,0,0.607,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L17,22.04,62.54,3,1918.5,0,0,0.0013,,,0,0.135,0.075,0,0,0,0,L1,,,,
SC0011,3300-3600,L18,26.44,41.47,58,837.94,2.15,0,0.0509,,,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L1,32.42,43.42,87,1.48,13.93,0.39,0.0752,0,0,1,1,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L3,36.34,30.42,19,34.25,7.15,0.17,0.1602,0,0,1,0.368,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L6,30.14,13.06,6,50.56,2.88,0,0.1383,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L13,20.51,66.95,123,1.86,5.56,0.23,0.0613,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L16,50.67,30.84,28,11.52,17.04,0.34,0.4812,1.79,34.23,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L17,41.49,42.86,82,27.35,19.26,0.42,0.3514,0,0,1,0.135,0.075,0,0,0,0,L1,,,,
SC0012,600-900,L18,23.21,60.38,35,39.07,1.03,0,0.0206,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L1,79.45,39.81,101,14.23,59.97,1.25,0.0861,0,0,1,1,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L3,70,37.23,33,111.98,39.37,0.75,0.2422,0,0,1,0.368,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L6,199.67,8.66,13,262.42,170.64,3.31,0.4095,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L13,36.34,60.73,183,52.65,20.41,0.6,0.104,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L16,106.05,26.02,61,154.66,69.81,1,0.7145,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L17,71.07,31.56,138,77.58,47.42,1,0.542,0,0,1,0.135,0.075,0,0,0,0,L1,,,,
SC0012,900-1200,L18,23.13,51.29,83,133.09,1.7,0,0.0704,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L1,81.61,39.79,135,40.14,62.04,1.17,0.1208,0,0,1,1,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L3,164.3,32.14,39,274.99,134.18,1.56,0.5844,0,0,1,0.368,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L6,386.15,12.02,18,466.87,358,9,0.9866,233.97,338.42,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L13,75.02,49.32,186,109.89,59.06,2.82,0.1534,0,0,1,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L16,156.64,28.49,62,321.97,118.49,1.51,0.6735,0,0,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L17,86.18,34.91,116,139.63,63.01,1.21,0.802,233.08,369.29,1,0.135,0.075,0,0,0,0,L1,,,,
SC0012,1200-1500,L18,23.85,45.62,70,313.01,2.86,0,0.0643,459.6,504.77,1,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L1,163.92,36.09,106,110.32,145.6,2.61,0.3551,0,0,0,1,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L3,269.51,36.13,38,402.89,239.15,3.17,0.8093,118.57,206.34,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L6,614.03,7.57,19,759.73,587.42,12.21,0.454,452.74,463.6,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L13,123.49,19.8,108,207.35,107.33,6.23,0.3016,95.7,170.51,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L16,156.04,23.98,44,509.55,117.13,1.71,0.4096,361.28,374.51,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L17,156.25,30.4,107,260.98,132.31,1.84,0.4799,503.05,504.99,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,1500-1800,L18,22.97,37.91,68,455.31,7.98,0,0.0941,9.57,144.43,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L1,217.57,47.46,4,349.09,198.51,3.1,0.0035,0.55,22.26,0,1,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L3,358.64,35.22,38,569.74,329.31,6.76,0.8139,0,0,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L6,689.18,30.72,50,986.26,662.19,14.61,0.6659,483.7,490.82,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L13,68.76,45.27,38,574.47,48.25,2.27,0.0416,38.87,131.06,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L16,238.76,23.03,36,622.49,199.15,2.03,0.775,498.06,504.95,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L17,223.3,36.36,115,384.71,200.73,3.13,0.7682,0,0,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,1800-2100,L18,22.77,35.77,68,589.65,6.75,0,0.0762,80.7,126.56,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L1,,,0,,,,0,245.33,257.31,0,1,0.075,0,1,1,1,L1,,,,
SC0012,2100-2400,L3,361.99,36.57,37,708.2,332.71,5.89,0.3728,306.75,504.29,0,0.368,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L6,730.09,23.95,34,1087.26,699.73,14.5,1,44.21,111.63,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L13,24.52,42.28,31,722.77,2.31,0,0.0285,0,0,0,0.223,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L16,198.35,24.02,45,862.62,158.1,1.68,0.4409,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L17,202.68,28.21,15,671.23,180.95,2.83,0.0278,33.15,71.52,0,0.135,0.075,0,0,0,0,L1,,,,
SC0012,2100-2400,L18,23.01,45.94,60,730.87,3.45,0,0.058,0,0,0,0.607,0.075,0,0,0,0,L1,,,,
SC0012,2400-2700,L1,15.65,64.12,1,1208.95,0,0,0.0004,0,0,0,1,0.075,0,0,0,0,L1,,,,
